,date,Fishtown,Southwest Center City,Point Breeze Credit Union,Chinatown,WPHL-TV,Passyunk Square,Spring Garden Road,Callow Hill,Hawthorne,American Pie,Manayunk,Society Hill,West Mount Airy,Pennsport,Washington Square Park,Queen Village,Fitler Square,Staten Island,Rittenhouse Square,Somerton,East Kensington,Jefferson Torresdale Hospital,Northern Liberties,Francisville,Bella Vista,Fairmount,Old City,Logan Square
154,2020-12-20,17,34,60,62,5,18,25,0,0,29,26,13,20,15,13,28,23,56,22,21,17,15,27,7,31,10,0,32
155,2020-12-27,21,32,81,62,17,21,23,0,0,42,37,24,28,28,13,58,59,55,28,53,16,39,36,44,59,11,30,33
156,2021-01-03,18,20,59,47,5,16,11,0,0,31,32,30,61,13,11,22,28,54,25,25,46,41,55,0,55,12,0,23
157,2021-01-10,21,50,48,63,2,36,22,0,0,32,32,17,26,20,13,32,55,59,29,13,0,55,45,12,76,15,0,32
158,2021-01-17,20,41,49,53,5,16,11,0,0,37,37,23,18,13,13,55,28,57,29,51,0,23,42,12,56,16,0,28
159,2021-01-24,24,31,65,64,2,24,22,0,0,34,38,21,26,40,10,30,56,57,22,38,46,93,47,18,49,14,0,29
160,2021-01-31,23,67,48,53,5,16,11,0,0,32,39,31,18,34,16,33,43,60,35,45,16,24,38,49,43,13,29,30
161,2021-02-07,26,26,50,69,3,25,11,0,0,38,35,27,36,27,11,33,79,57,39,84,47,38,35,43,43,11,0,31
162,2021-02-14,26,53,41,72,5,29,58,0,0,36,33,30,36,41,13,26,43,60,34,20,16,53,43,12,51,14,0,30
163,2021-02-21,26,52,58,51,4,54,0,0,0,32,32,25,9,7,14,31,57,61,36,20,16,61,43,49,36,13,0,32
164,2021-02-28,29,26,44,65,4,17,23,0,0,29,43,20,18,7,12,21,58,59,32,72,32,100,61,19,58,14,30,38
165,2021-03-07,34,31,88,63,6,49,23,0,0,26,36,39,9,47,12,33,36,60,35,32,31,70,41,37,57,19,0,37
166,2021-03-14,24,49,49,60,7,15,43,0,0,25,39,27,17,25,13,38,47,61,33,55,0,35,50,12,20,14,0,33
167,2021-03-21,33,62,57,72,1,37,34,0,0,25,46,29,27,20,35,30,64,61,36,32,16,37,83,0,50,16,0,36
168,2021-03-28,32,48,71,75,4,38,35,0,0,28,44,26,18,27,17,36,15,66,45,46,32,34,58,44,51,22,60,46
169,2021-04-04,32,37,54,67,4,34,0,0,20,33,41,38,18,7,26,55,36,62,47,46,16,48,82,6,37,17,60,38
170,2021-04-11,32,52,49,59,5,62,0,0,0,41,45,27,18,47,25,33,85,62,44,39,16,99,62,37,86,18,29,66
