City,date,housing_price,roomtype
Washington,2019-01,352638.13333333336,1bed
Washington,2019-02,351745.8,1bed
Washington,2019-03,352684.86666666664,1bed
Washington,2019-04,353961.6,1bed
Washington,2019-05,355410.6,1bed
Washington,2019-06,355764.73333333334,1bed
Washington,2019-07,354936.6,1bed
Washington,2019-08,355667.4,1bed
Washington,2019-09,356865.4,1bed
Washington,2019-10,358717.2,1bed
Washington,2019-11,359424.6666666667,1bed
Washington,2019-12,360124.6666666667,1bed
Washington,2020-01,361471.06666666665,1bed
Washington,2020-02,362296.73333333334,1bed
Washington,2020-03,361862.26666666666,1bed
Washington,2020-04,362506.4666666667,1bed
Washington,2020-05,363049.0,1bed
Washington,2020-06,364915.8,1bed
Washington,2020-07,365247.8,1bed
Washington,2020-08,366225.3333333333,1bed
Washington,2020-09,367754.73333333334,1bed
Washington,2020-10,369415.86666666664,1bed
Washington,2020-11,371746.73333333334,1bed
Washington,2020-12,371765.2,1bed
Washington,2021-01,371390.73333333334,1bed
Washington,2021-02,370188.6,1bed
Washington,2021-03,370755.93333333335,1bed
Washington,2021-04,371322.86666666664,1bed
Washington,2021-05,372968.6,1bed
Washington,2021-06,373859.93333333335,1bed
Washington,2021-07,374583.73333333334,1bed
Washington,2021-08,373859.3333333333,1bed
Washington,2021-09,389425.21428571426,1bed
Washington,2021-10,374355.86666666664,1bed
Washington,2021-11,374716.06666666665,1bed
Washington,2021-12,374641.6666666667,1bed
Washington,2022-01,374442.6666666667,1bed
Washington,2022-02,375989.13333333336,1bed
Washington,2022-03,377057.13333333336,1bed
Boston,2018-01,823807.5882352941,2beds
Boston,2018-02,827605.0588235294,2beds
Boston,2018-03,832968.4705882353,2beds
Boston,2018-04,835611.8823529412,2beds
Boston,2018-05,837215.6470588235,2beds
Boston,2018-06,837930.0588235294,2beds
Boston,2018-07,840388.7058823529,2beds
Boston,2018-08,841896.1764705882,2beds
Boston,2018-09,842668.5882352941,2beds
Boston,2018-10,843658.7647058824,2beds
Boston,2018-11,845937.2352941176,2beds
Boston,2018-12,847979.5882352941,2beds
Boston,2019-01,847731.6470588235,2beds
Boston,2019-02,843159.7647058824,2beds
Boston,2019-03,841695.4705882353,2beds
Boston,2019-04,844634.1176470588,2beds
Boston,2019-05,852197.3529411765,2beds
Boston,2019-06,855317.0588235294,2beds
Boston,2019-07,853197.6470588235,2beds
Boston,2019-08,849493.4117647059,2beds
Boston,2019-09,846499.4117647059,2beds
Boston,2019-10,846064.2352941176,2beds
Boston,2019-11,844191.0588235294,2beds
Boston,2019-12,844892.5294117647,2beds
Boston,2020-01,845794.8823529412,2beds
Boston,2020-02,850485.3529411765,2beds
Boston,2020-03,854170.0,2beds
Boston,2020-04,855954.0,2beds
Boston,2020-05,854951.8235294118,2beds
Boston,2020-06,851577.8235294118,2beds
Boston,2020-07,849859.2941176471,2beds
Boston,2020-08,851519.1176470588,2beds
Boston,2020-09,857733.4705882353,2beds
Boston,2020-10,864577.5882352941,2beds
Boston,2020-11,868737.2352941176,2beds
Boston,2020-12,869615.1764705882,2beds
Boston,2021-01,868410.3529411765,2beds
Boston,2021-02,870307.9411764706,2beds
Boston,2021-03,893620.5625,2beds
Boston,2021-04,869640.7058823529,2beds
Boston,2021-05,868959.3529411765,2beds
Boston,2021-06,875447.2941176471,2beds
Boston,2021-07,881249.5882352941,2beds
Boston,2021-08,885732.4117647059,2beds
Boston,2021-09,883988.5882352941,2beds
Boston,2021-10,882364.3529411765,2beds
Boston,2021-11,883395.3529411765,2beds
Boston,2021-12,893059.1176470588,2beds
Boston,2022-01,901025.5882352941,2beds
Boston,2022-02,910545.0,2beds
Boston,2022-03,916136.9411764706,2beds
Chicago,2018-01,319904.3,2beds
Chicago,2018-02,322516.93333333335,2beds
Chicago,2018-03,323300.73333333334,2beds
Chicago,2018-04,322695.93333333335,2beds
Chicago,2018-05,321843.63333333336,2beds
Chicago,2018-06,321127.9,2beds
Chicago,2018-07,320552.8333333333,2beds
Chicago,2018-08,319923.3,2beds
Chicago,2018-09,319958.9666666667,2beds
Chicago,2018-10,319582.9,2beds
Chicago,2018-11,320138.6666666667,2beds
Chicago,2018-12,320592.93333333335,2beds
Chicago,2019-01,320241.0333333333,2beds
Chicago,2019-02,320032.1666666667,2beds
Chicago,2019-03,319355.63333333336,2beds
Chicago,2019-04,319695.6,2beds
Chicago,2019-05,319306.56666666665,2beds
Chicago,2019-06,318949.4,2beds
Chicago,2019-07,318448.63333333336,2beds
Chicago,2019-08,317615.13333333336,2beds
Chicago,2019-09,317002.8333333333,2beds
Chicago,2019-10,316537.93333333335,2beds
Chicago,2019-11,316432.4,2beds
Chicago,2019-12,316344.3,2beds
Chicago,2020-01,316420.86666666664,2beds
Chicago,2020-02,316745.4666666667,2beds
Chicago,2020-03,316774.86666666664,2beds
Chicago,2020-04,316608.6,2beds
Chicago,2020-05,315999.23333333334,2beds
Chicago,2020-06,310404.87096774194,2beds
Chicago,2020-07,312165.5806451613,2beds
Chicago,2020-08,314112.3870967742,2beds
Chicago,2020-09,310399.9032258064,2beds
Chicago,2020-10,316864.71875,2beds
